"rut","nombre_matriculado","puntaja_notas","puntaja_ranking_notas","puntaja_lenguaje","puntaja_matemática","puntaja_historia","puntaja_ciencias","puntaja_otro","género","dirección_región","dirección_provincia","dirección_comuna","dirección_calle","dirección_número"
"20406350-2","Sofia Garcia",820,730,738,744,692,801,846,"Masculino","Aconcagua","Osorno","Valparaíso","Calle 18",166
"10913602-9","Mariana Rodriguez",796,840,738,669,833,686,781,"Femenino","Los Lagos","Coquimbo","Lago Verde","Calle 87",458
"13269749-4","Camila Perez",793,748,666,722,660,748,803,"Masculino","Biobío","Valparaíso","Valparaíso","Calle 55",226
"17705240-9","Mariana Martinez",816,819,671,805,659,750,834,"Femenino","Metropolitana","Coquimbo","Valparaíso","Calle 100",518
"15914367-4","Carlos Lopez",745,790,735,652,848,685,727,"Masculino","Santiago","Santiago","Lago Verde","Calle 142",217
"22104027-8","Diego Lopez",699,841,674,764,734,694,849,"Masculino","Aconcagua","Osorno","Santiago Centro","Calle 105",930
"18955868-2","Francisca Hernandez",796,834,832,694,762,836,807,"Femenino","Coquimbo","Santiago","Santiago Centro","Calle 82",415
"14691993-6","Javier Gonzalez",781,743,850,710,841,767,820,"Femenino","Metropolitana","Valparaíso","Santiago Centro","Calle 124",490
"21138696-2","Diego Lopez",828,680,709,834,823,825,705,"Femenino","Biobío","Valparaíso","Valparaíso","Calle 106",706
"20683981-0","Mariana Hernandez",812,700,812,709,766,726,744,"Femenino","Coquimbo","Coquimbo","Osorno","Calle 40",117
"12766694-4","Javier Hernandez",683,773,771,845,651,781,829,"Masculino","Biobío","Valparaíso","Osorno","Calle 16",788
"14924558-9","Ana Rodriguez",806,666,751,654,726,840,723,"Masculino","Santiago","Santiago","Santiago Centro","Calle 114",777
"17087878-8","Camila Larrahona",726,850,819,661,708,665,732,"Masculino","Santiago","Santiago","Valparaíso","Calle 90",432
"21040585-6","Francisca Osorio",703,764,664,782,774,769,745,"Femenino","Santiago","Concepción","Concepción","Calle 79",903
"20095547-4","Sofia Martinez",716,827,792,737,802,839,782,"Femenino","Coquimbo","Concepción","Osorno","Calle 82",819
"18789812-5","Luis Garcia",738,722,685,711,800,800,778,"Femenino","Aconcagua","Valparaíso","Santiago Centro","Calle 18",993
"24214433-4","Javier Larrahona",702,711,674,717,669,681,725,"Femenino","Los Lagos","Coquimbo","Osorno","Calle 138",275
"14678219-1","Carlos Perez",817,771,818,773,845,672,795,"Femenino","Santiago","Porvenir","Osorno","Calle 116",583
"16344696-8","Mariana Garcia",782,836,654,747,684,846,783,"Masculino","Metropolitana","Valparaíso","Lago Verde","Calle 99",112
"12466068-8","Camila Hernandez",654,835,730,745,829,725,713,"Masculino","Aconcagua","Osorno","Lago Verde","Calle 4",729
"21417689-3","Mariana Martinez",743,735,779,842,650,771,744,"Masculino","Los Lagos","Concepción","Osorno","Calle 112",897
"16138629-7","Diego Osorio",720,824,700,732,733,831,827,"Femenino","Coquimbo","Santiago","Santiago Centro","Calle 16",230
"15599061-6","Diego Hernandez",759,681,750,788,732,732,819,"Masculino","Aconcagua","Valparaíso","Concepción","Calle 143",144
"20412783-0","Francisca Garcia",794,751,737,688,816,707,810,"Femenino","Santiago","Osorno","Osorno","Calle 32",708
"17710513-0","Victor Rodriguez",747,753,724,678,771,752,771,"Femenino","Biobío","Valparaíso","Santiago Centro","Calle 100",296
"12183683-4","Diego Perez",666,773,810,654,688,665,743,"Femenino","Los Lagos","Coquimbo","Santiago Centro","Calle 140",311
"13374357-8","Victor Hernandez",838,843,784,843,745,821,678,"Femenino","Aconcagua","Santiago","Concepción","Calle 2",712
"20478573-8","Sofia Osorio",660,778,664,818,745,659,839,"Femenino","Biobío","Coquimbo","Osorno","Calle 49",832
"24051618-7","Victor Larrahona",663,795,736,675,712,708,655,"Femenino","Santiago","Osorno","Valparaíso","Calle 117",242
"17294237-8","Mariana Diaz",753,720,660,677,686,785,708,"Masculino","Coquimbo","Santiago","Porvenir","Calle 70",123
"17179421-2","Sofia Garcia",810,740,697,696,819,712,798,"Femenino","Santiago","Valparaíso","Porvenir","Calle 59",710
"19283036-6","Luis Lopez",811,720,674,719,708,797,674,"Masculino","Aconcagua","Santiago","Porvenir","Calle 68",923
"14349590-5","Carlos Rodriguez",841,685,787,719,825,667,754,"Femenino","Los Lagos","Coquimbo","Porvenir","Calle 148",20
"17935822-4","Diego Larrahona",787,718,677,768,680,687,763,"Masculino","Metropolitana","Valparaíso","Osorno","Calle 102",697
"20788487-2","Mariana Gonzalez",774,724,783,653,735,777,664,"Masculino","Santiago","Santiago","Valparaíso","Calle 139",423
"14832433-9","Camila Diaz",687,776,661,841,836,680,721,"Masculino","Aconcagua","Coquimbo","Concepción","Calle 69",214
"14848341-3","Ana Rodriguez",661,676,796,671,830,683,671,"Masculino","Biobío","Coquimbo","Osorno","Calle 40",160
"21349776-5","Sofia Gonzalez",684,691,812,728,734,766,814,"Femenino","Santiago","Osorno","Santiago Centro","Calle 1",741
"20632935-2","Mariana Larrahona",753,724,657,655,741,826,709,"Femenino","Los Lagos","Santiago","Lago Verde","Calle 17",878
"16120270-7","Carlos Martinez",836,805,704,772,824,836,699,"Femenino","Los Lagos","Santiago","Valparaíso","Calle 50",142
"17365590-6","Mariana Garcia",682,682,741,706,791,725,657,"Femenino","Coquimbo","Santiago","Osorno","Calle 113",315
"24432206-6","Javier Perez",820,772,758,716,738,726,765,"Femenino","Coquimbo","Concepción","Concepción","Calle 50",241
"20069605-6","Francisca Perez",767,755,697,774,810,677,685,"Masculino","Coquimbo","Santiago","Porvenir","Calle 28",860
"20119593-4","Camila Osorio",660,681,779,723,814,827,818,"Masculino","Coquimbo","Porvenir","Porvenir","Calle 3",471
"14534031-7","Mariana Gonzalez",721,736,726,750,789,805,724,"Femenino","Los Lagos","Osorno","Osorno","Calle 144",33
"12075412-6","Luis Diaz",730,734,830,751,733,775,705,"Femenino","Los Lagos","Santiago","Santiago Centro","Calle 144",803
"14884387-2","Diego Perez",653,693,751,741,848,821,808,"Femenino","Metropolitana","Porvenir","Santiago Centro","Calle 22",229
"24194726-5","Sofia Rodriguez",725,839,732,714,741,656,729,"Masculino","Santiago","Santiago","Valparaíso","Calle 13",569
"24258312-6","Sofia Rodriguez",696,814,680,812,746,742,659,"Femenino","Aconcagua","Santiago","Osorno","Calle 31",749
"24763567-2","Mariana Larrahona",833,745,757,689,754,723,810,"Masculino","Santiago","Valparaíso","Valparaíso","Calle 126",261
"22054515-6","Mariana Perez",663,689,806,651,760,721,788,"Masculino","Los Lagos","Porvenir","Lago Verde","Calle 77",719
"22789504-7","Camila Lopez",700,728,682,823,799,695,715,"Masculino","Santiago","Santiago","Valparaíso","Calle 114",665
"11963613-3","Victor Rodriguez",804,848,804,668,672,681,785,"Femenino","Los Lagos","Osorno","Valparaíso","Calle 143",474
"24182159-7","Camila Osorio",724,663,802,739,771,734,767,"Femenino","Los Lagos","Porvenir","Concepción","Calle 47",211
"13492298-3","Javier Perez",826,755,721,682,669,744,672,"Femenino","Santiago","Osorno","Lago Verde","Calle 112",696
"16766786-3","Javier Larrahona",806,833,741,736,757,835,758,"Femenino","Los Lagos","Valparaíso","Santiago Centro","Calle 116",804
"13388267-5","Ana Hernandez",815,697,705,780,659,796,691,"Masculino","Los Lagos","Osorno","Santiago Centro","Calle 69",903
"21588137-3","Ana Larrahona",668,738,689,814,844,737,678,"Femenino","Aconcagua","Santiago","Osorno","Calle 2",875
"10703096-6","Francisca Perez",670,652,712,841,786,722,776,"Femenino","Metropolitana","Porvenir","Valparaíso","Calle 114",772
"18873261-4","Diego Perez",698,767,757,710,676,785,829,"Femenino","Coquimbo","Valparaíso","Valparaíso","Calle 144",60
"17123649-5","Diego Rodriguez",655,672,721,708,724,747,777,"Masculino","Aconcagua","Coquimbo","Concepción","Calle 114",427
"21219615-9","Diego Rodriguez",718,724,659,713,752,690,828,"Masculino","Metropolitana","Valparaíso","Lago Verde","Calle 12",699
"12346412-4","Camila Hernandez",793,710,664,662,666,691,653,"Masculino","Biobío","Porvenir","Santiago Centro","Calle 103",873
