"rut","nombre_postulante","puntaja_notas","puntaja_ranking_notas","puntaja_lenguaje","puntaja_matemática","puntaja_historia","puntaja_ciencias","puntaja_otro","género","dirección_región","dirección_provincia","dirección_comuna","dirección_calle","dirección_número"
"23736846-2","Camila Gonzalez",509,575,532,610,486,593,539,"Masculino","Coquimbo","Porvenir","Santiago Centro","Calle 144",917
"17777607-4","Victor Rodriguez",473,556,532,525,591,631,533,"Femenino","Coquimbo","Coquimbo","Santiago Centro","Calle 130",121
"17017332-8","Carlos Lopez",453,558,553,465,525,505,564,"Masculino","Santiago","Valparaíso","Osorno","Calle 90",548
"17827075-5","Diego Lopez",491,573,633,570,453,546,547,"Femenino","Aconcagua","Santiago","Santiago Centro","Calle 6",160
"10447719-9","Francisca Perez",569,582,492,501,457,537,482,"Femenino","Santiago","Osorno","Porvenir","Calle 150",477
"16255298-5","Luis Lopez",589,512,575,531,606,616,610,"Masculino","Biobío","Concepción","Concepción","Calle 44",953
"23125634-1","Luis Osorio",489,463,565,461,497,598,481,"Femenino","Coquimbo","Valparaíso","Valparaíso","Calle 63",574
"18098117-0","Luis Martinez",507,516,482,637,616,561,474,"Masculino","Metropolitana","Valparaíso","Osorno","Calle 118",113
"13074046-1","Javier Hernandez",574,596,495,639,509,595,548,"Femenino","Biobío","Concepción","Santiago Centro","Calle 147",557
"14858928-2","Sofia Osorio",636,501,502,584,461,479,524,"Femenino","Coquimbo","Valparaíso","Osorno","Calle 85",217
"20941614-1","Diego Gonzalez",618,579,554,512,593,598,514,"Femenino","Santiago","Santiago","Lago Verde","Calle 62",907
"22236059-7","Ana Perez",612,502,513,528,583,466,471,"Femenino","Coquimbo","Porvenir","Valparaíso","Calle 118",456
"18943981-8","Francisca Rodriguez",535,490,647,562,566,551,463,"Masculino","Los Lagos","Osorno","Concepción","Calle 124",737
"18593742-2","Francisca Martinez",470,513,466,588,546,641,601,"Femenino","Santiago","Santiago","Valparaíso","Calle 122",672
"16195849-2","Luis Diaz",501,626,624,516,582,501,536,"Masculino","Biobío","Concepción","Osorno","Calle 137",125
"18225095-2","Camila Larrahona",525,607,626,524,601,548,628,"Femenino","Los Lagos","Concepción","Santiago Centro","Calle 61",10
"18800040-2","Javier Rodriguez",472,469,521,477,523,637,520,"Femenino","Coquimbo","Osorno","Porvenir","Calle 103",547
"18621746-6","Mariana Rodriguez",592,518,475,628,537,584,570,"Femenino","Santiago","Concepción","Santiago Centro","Calle 117",672
"10724742-6","Sofia Martinez",480,644,495,454,468,633,509,"Femenino","Los Lagos","Santiago","Osorno","Calle 68",775
"10808314-6","Camila Martinez",605,517,630,481,558,470,506,"Femenino","Aconcagua","Osorno","Santiago Centro","Calle 135",211
"14581063-4","Javier Lopez",594,467,617,594,648,649,504,"Masculino","Metropolitana","Valparaíso","Osorno","Calle 145",787
"22279581-3","Javier Gonzalez",479,519,515,549,477,542,583,"Masculino","Coquimbo","Osorno","Concepción","Calle 21",163
"18601128-1","Francisca Rodriguez",522,642,551,459,456,498,478,"Masculino","Aconcagua","Osorno","Santiago Centro","Calle 13",635
"23441761-6","Camila Lopez",529,533,526,463,510,486,533,"Masculino","Los Lagos","Osorno","Concepción","Calle 107",294
"23353980-2","Luis Larrahona",540,627,488,517,555,457,602,"Masculino","Biobío","Valparaíso","Porvenir","Calle 21",33
"20205856-8","Camila Lopez",541,582,460,534,502,541,636,"Masculino","Biobío","Porvenir","Osorno","Calle 30",754
"16508200-0","Mariana Hernandez",539,522,620,621,498,584,617,"Masculino","Los Lagos","Valparaíso","Lago Verde","Calle 29",491
"13274416-8","Camila Garcia",577,613,568,624,499,534,649,"Masculino","Santiago","Coquimbo","Valparaíso","Calle 68",837
"22216306-2","Luis Garcia",570,577,605,467,632,536,495,"Femenino","Los Lagos","Coquimbo","Lago Verde","Calle 124",148
"20902999-3","Victor Rodriguez",573,533,530,614,610,523,569,"Masculino","Metropolitana","Concepción","Valparaíso","Calle 11",578
"15210225-5","Ana Rodriguez",610,545,541,470,564,628,621,"Femenino","Aconcagua","Coquimbo","Porvenir","Calle 7",315
"11107132-5","Luis Martinez",607,570,618,482,469,492,623,"Femenino","Coquimbo","Coquimbo","Santiago Centro","Calle 117",483
"20638002-8","Diego Osorio",523,570,630,529,450,625,465,"Masculino","Coquimbo","Osorno","Porvenir","Calle 39",751
"13444458-3","Carlos Diaz",567,617,546,573,635,542,604,"Masculino","Santiago","Osorno","Porvenir","Calle 142",186
"17091775-2","Mariana Osorio",507,623,630,474,521,473,605,"Femenino","Biobío","Valparaíso","Concepción","Calle 116",778
"12362658-6","Camila Diaz",488,490,500,503,465,611,511,"Femenino","Metropolitana","Porvenir","Concepción","Calle 39",388
"22728301-2","Diego Gonzalez",493,604,647,584,468,581,605,"Masculino","Coquimbo","Porvenir","Lago Verde","Calle 23",937
"23694111-3","Luis Garcia",605,602,455,570,511,456,464,"Masculino","Biobío","Coquimbo","Valparaíso","Calle 7",707
"11382282-4","Camila Martinez",596,534,499,469,609,617,622,"Femenino","Metropolitana","Valparaíso","Valparaíso","Calle 85",507
"10607942-1","Javier Gonzalez",516,608,485,477,475,533,450,"Femenino","Metropolitana","Valparaíso","Porvenir","Calle 134",147
"15003319-9","Javier Diaz",493,591,614,613,582,452,573,"Masculino","Metropolitana","Concepción","Santiago Centro","Calle 90",523
"10003625-4","Javier Rodriguez",610,640,607,632,500,534,483,"Femenino","Santiago","Santiago","Valparaíso","Calle 52",552
"12839692-8","Ana Perez",451,580,535,566,531,564,619,"Masculino","Santiago","Santiago","Lago Verde","Calle 61",406
"23740392-7","Victor Rodriguez",495,548,629,508,611,561,615,"Masculino","Aconcagua","Valparaíso","Osorno","Calle 61",753
"11016153-9","Ana Martinez",456,539,650,619,611,534,636,"Femenino","Santiago","Valparaíso","Santiago Centro","Calle 117",727
"23879221-6","Luis Lopez",624,519,579,455,595,605,563,"Masculino","Santiago","Osorno","Santiago Centro","Calle 104",774
"23076936-8","Luis Osorio",558,544,532,600,604,520,545,"Masculino","Biobío","Osorno","Concepción","Calle 128",581
"14617441-5","Carlos Hernandez",596,582,641,606,560,486,610,"Masculino","Metropolitana","Valparaíso","Porvenir","Calle 127",421
"22589227-4","Diego Diaz",546,463,648,547,480,569,571,"Femenino","Santiago","Osorno","Concepción","Calle 115",935
"15738515-0","Francisca Diaz",636,561,522,522,492,500,620,"Masculino","Coquimbo","Osorno","Lago Verde","Calle 146",412
"10574784-1","Diego Osorio",454,602,601,639,614,581,558,"Femenino","Biobío","Valparaíso","Santiago Centro","Calle 65",278
